name,category,unit_type,unit_cost,sku,default_waste_pct,is_taxable,notes,default_vendor_name
4x4x8 Post (Pressure Treated),Framing Lumber,EA,14.00,LUM-4X4X8PT,5,true,Pressure-treated 4x4 post.,Regional Lumber Co.
6x6x8 Post (Pressure Treated),Framing Lumber,EA,32.00,LUM-6X6X8PT,5,true,Pressure-treated 6x6 post for decks and headers.,Regional Lumber Co.
Pressure Treated 2x6x12,Framing Lumber,EA,14.50,LUM-PT2X6X12,10,true,PT 2x6 for sill plates and decking.,Regional Lumber Co.
Pressure Treated 2x8x16,Framing Lumber,EA,22.00,LUM-PT2X8X16,10,true,PT 2x8 for ledger boards and deck framing.,Regional Lumber Co.
LVL Beam 3.5"x9.5",Framing Lumber,LF,14.00,LVL-359,5,true,Laminated veneer lumber for headers and beams.,Regional Lumber Co.
LVL Beam 3.5"x11.25",Framing Lumber,LF,18.00,LVL-35112,5,true,LVL beam for wide openings and long spans.,Regional Lumber Co.
LVL Beam 3.5"x14",Framing Lumber,LF,24.00,LVL-3514,5,true,Heavy LVL for garage openings and ridge beams.,Regional Lumber Co.
OSB Sheathing 7/16" 4x8,Structural Panels,SH,18.00,OSB-716-48,10,true,Standard wall and roof sheathing.,Regional Lumber Co.
OSB Sheathing 1/2" 4x8,Structural Panels,SH,22.00,OSB-12-48,10,true,Structural wall sheathing for high-wind zones.,Regional Lumber Co.
Plywood 1/2" 4x8 CDX,Structural Panels,SH,38.00,PLY-12CDX,10,true,CDX plywood for sheathing and underlayment.,Regional Lumber Co.
Plywood 3/4" 4x8 CDX,Structural Panels,SH,52.00,PLY-34CDX,10,true,CDX plywood for sheathing and form work.,Regional Lumber Co.
Plywood 3/4" 4x8 T&G Subfloor,Structural Panels,SH,55.00,PLY-34TG,10,true,Tongue-and-groove subfloor plywood.,Regional Lumber Co.
LP SmartSide 7/16" 4x8,Structural Panels,SH,42.00,SID-SMART-48,10,true,Engineered wood siding panel.,Regional Lumber Co.
Architectural Shingles 30-yr,Roofing,SQ,110.00,RF-ARCH30,10,true,30-year architectural asphalt shingles. 1 SQ = 100 SF.,Roofing Direct
3-Tab Asphalt Shingles,Roofing,SQ,80.00,RF-3TAB,10,true,Standard 3-tab shingles. 1 SQ = 100 SF.,Roofing Direct
Roofing Felt #15 (4-sq roll),Roofing,RL,28.00,RF-FELT15,5,true,15-lb felt underlayment.,Roofing Direct
Ice & Water Shield (2-sq roll),Roofing,RL,95.00,RF-IWS2,5,true,Peel-and-stick ice and water barrier for eaves and valleys.,Roofing Direct
Ridge Cap Shingles,Roofing,BDL,45.00,RF-RIDGE,5,true,Pre-cut ridge cap bundle.,Roofing Direct
Drip Edge Aluminum 10-ft,Roofing,EA,4.50,RF-DRIP10,5,true,Aluminum drip edge. Standard colors available.,Roofing Direct
Roofing Coil Nails 1-3/4" (7200/box),Roofing,BX,42.00,RF-NAIL174,5,true,Coil nails for pneumatic roofing nailer.,Roofing Direct
Pipe Flashing Boot 1"-3",Roofing,EA,12.00,RF-FLASH3,5,true,Lead-free pipe flashing boot for penetrations.,Roofing Direct
Step Flashing 5"x7" (25/bundle),Roofing,BDL,28.00,RF-STEP25,5,true,Galvanized step flashing for wall intersections.,Roofing Direct
Fiberglass Batt R-13 3.5" 15-in,Insulation,SF,0.45,INS-R13-15,5,true,R-13 kraft-faced batt for 2x4 exterior walls.,Interior Supply Group
Fiberglass Batt R-13 3.5" 23-in,Insulation,SF,0.48,INS-R13-23,5,true,R-13 wide kraft-faced batt for 2x4 framing.,Interior Supply Group
Fiberglass Batt R-19 6" 15-in,Insulation,SF,0.65,INS-R19-15,5,true,R-19 kraft-faced batt for 2x6 exterior walls.,Interior Supply Group
Fiberglass Batt R-19 6" 23-in,Insulation,SF,0.68,INS-R19-23,5,true,R-19 wide batt for 2x6 framing.,Interior Supply Group
Fiberglass Batt R-30 9.5-in,Insulation,SF,0.95,INS-R30,5,true,R-30 batt for attic floors and cathedral ceilings.,Interior Supply Group
Rigid Foam R-5 1" 4x8,Insulation,SH,22.00,INS-RF1-48,5,true,1-inch EPS rigid foam board.,Interior Supply Group
Rigid Foam R-10 2" 4x8,Insulation,SH,38.00,INS-RF2-48,5,true,2-inch EPS rigid foam board.,Interior Supply Group
House Wrap Tyvek 9x100-ft,Insulation,RL,110.00,INS-HW9100,5,true,Weather-resistant barrier. 900 SF per roll.,Interior Supply Group
Spray Foam 2-Part Kit 200 BF,Insulation,KT,85.00,INS-SPF200,10,true,Closed-cell spray foam for gaps and rim joists.,Interior Supply Group
Drywall 1/2" 4x8,Drywall & Plaster,SH,12.00,DW-12-48,10,true,Standard 1/2-inch drywall.,Interior Supply Group
Drywall 1/2" 4x12,Drywall & Plaster,SH,18.00,DW-12-412,10,true,Long 4x12 drywall for reduced seams.,Interior Supply Group
Drywall 5/8" Type X 4x8,Drywall & Plaster,SH,15.00,DW-58X-48,10,true,Fire-code drywall for garages and party walls.,Interior Supply Group
Drywall 1/2" Moisture-Resistant 4x8,Drywall & Plaster,SH,16.50,DW-12MR-48,10,true,Green board for bathrooms and wet areas.,Interior Supply Group
Joint Compound All-Purpose 5-Gal,Drywall & Plaster,BKT,18.00,DW-JC5G,15,true,All-purpose joint compound for taping and finishing.,Interior Supply Group
Paper Joint Tape 250-ft,Drywall & Plaster,RL,6.50,DW-TAPE250,5,true,Standard paper drywall tape.,Interior Supply Group
Metal Corner Bead 1-1/4" 8-ft,Drywall & Plaster,EA,1.85,DW-CB8,5,true,Standard bullnose metal corner bead.,Interior Supply Group
Drywall Screws 1-5/8" (1 lb),Drywall & Plaster,LB,4.50,DW-SCRW158,5,true,Coarse-thread drywall screws for wood framing.,Interior Supply Group
Drywall Screws 2-5/8" (1 lb),Drywall & Plaster,LB,4.75,DW-SCRW258,5,true,Longer drywall screws for double-layer and thick framing.,Interior Supply Group
Drywall Screws 3" (1 lb),Drywall & Plaster,LB,5.00,DW-SCRW3,5,true,3-inch screws for attaching to metal and thick assemblies.,Interior Supply Group
Hardwood Flooring 3/4" Oak,Flooring,SF,5.50,FL-OAK34,12,true,3/4" solid oak strip flooring. Unfinished.,Interior Supply Group
LVP Flooring 6mm,Flooring,SF,2.85,FL-LVP6,10,true,6mm luxury vinyl plank. 100% waterproof.,Interior Supply Group
LVP Flooring 12mm,Flooring,SF,4.25,FL-LVP12,10,true,12mm luxury vinyl plank. Click-lock install.,Interior Supply Group
Ceramic Tile 12x12,Flooring,SF,2.50,FL-CER12,12,true,Standard 12x12 ceramic floor tile.,Interior Supply Group
Porcelain Tile 24x24,Flooring,SF,4.80,FL-POR24,12,true,Large-format porcelain tile.,Interior Supply Group
Carpet (Standard Grade),Flooring,SF,1.85,FL-CARP-STD,12,true,Standard residential carpet.,Interior Supply Group
Carpet Pad 1/2",Flooring,SF,0.65,FL-PAD12,5,true,8 lb density 1/2-inch carpet pad.,Interior Supply Group
Cement Board 1/2" 3x5,Flooring,SH,14.00,FL-CB-35,10,true,HardieBacker cement board for tile substrate.,Interior Supply Group
Tile Thinset Mortar (50 lb),Flooring,BAG,18.00,FL-THIN50,10,true,Polymer-modified thinset mortar.,Interior Supply Group
Tile Grout Unsanded (10 lb),Flooring,BAG,12.00,FL-GROUT10,10,true,Unsanded grout for joints up to 1/8-inch.,Interior Supply Group
Hardwood Transition Strip 78-in,Flooring,EA,22.00,FL-TRANS78,5,true,T-molding transition strip for floor changes.,Interior Supply Group
PVC Pipe 4" DWV 10-ft,Plumbing,EA,18.00,PLM-PVC4-10,10,true,Schedule 40 PVC drain-waste-vent pipe.,Plumbing Pro Distributors
PVC Pipe 3" DWV 10-ft,Plumbing,EA,12.00,PLM-PVC3-10,10,true,Schedule 40 PVC DWV pipe.,Plumbing Pro Distributors
PVC Pipe 2" DWV 10-ft,Plumbing,EA,8.50,PLM-PVC2-10,10,true,Schedule 40 PVC DWV pipe.,Plumbing Pro Distributors
Copper Pipe 1/2" Type M 10-ft,Plumbing,EA,28.00,PLM-COP12-10,10,true,Type M copper water supply pipe.,Plumbing Pro Distributors
Copper Pipe 3/4" Type M 10-ft,Plumbing,EA,42.00,PLM-COP34-10,10,true,Type M copper water supply pipe.,Plumbing Pro Distributors
PEX Pipe 1/2" (per foot),Plumbing,LF,0.55,PLM-PEX12,10,true,1/2-inch red/blue PEX tubing. Sold per foot.,Plumbing Pro Distributors
PEX Pipe 3/4" (per foot),Plumbing,LF,0.85,PLM-PEX34,10,true,3/4-inch PEX tubing. Sold per foot.,Plumbing Pro Distributors
PVC 4" 90-Degree Elbow,Plumbing,EA,4.50,PLM-ELB4-90,5,true,Schedule 40 PVC sanitary elbow.,Plumbing Pro Distributors
PVC 3" 90-Degree Elbow,Plumbing,EA,3.25,PLM-ELB3-90,5,true,Schedule 40 PVC sanitary elbow.,Plumbing Pro Distributors
PVC 2" 90-Degree Elbow,Plumbing,EA,2.50,PLM-ELB2-90,5,true,Schedule 40 PVC elbow.,Plumbing Pro Distributors
Ball Valve 1/2" Brass,Plumbing,EA,12.00,PLM-BV12,5,true,Full-port brass ball valve.,Plumbing Pro Distributors
Ball Valve 3/4" Brass,Plumbing,EA,16.00,PLM-BV34,5,true,Full-port brass ball valve.,Plumbing Pro Distributors
P-Trap 1.5" PVC,Plumbing,EA,6.50,PLM-PT15,5,true,PVC P-trap for lavatory and kitchen drains.,Plumbing Pro Distributors
Toilet Wax Ring with Bolts,Plumbing,EA,8.00,PLM-WAX,5,true,Standard wax ring with closet bolts.,Plumbing Pro Distributors
Shut-Off Valve 1/2" Angle,Plumbing,EA,8.50,PLM-SOV12,5,true,Chrome angle stop valve for fixtures.,Plumbing Pro Distributors
Water Heater 50-Gal Electric,Plumbing,EA,650.00,PLM-WH50E,0,true,50-gallon electric water heater.,Plumbing Pro Distributors
14/2 NM-B Wire (per foot),Electrical,FT,0.65,ELC-1422,10,true,14-2 Romex with ground for 15A circuits.,National Electrical Wholesale
12/2 NM-B Wire (per foot),Electrical,FT,0.95,ELC-1222,10,true,12-2 Romex with ground for 20A circuits.,National Electrical Wholesale
10/2 NM-B Wire (per foot),Electrical,FT,1.45,ELC-1022,10,true,10-2 Romex for dryers and water heaters.,National Electrical Wholesale
14/3 NM-B Wire (per foot),Electrical,FT,0.95,ELC-1423,10,true,14-3 Romex for 3-way switches and split circuits.,National Electrical Wholesale
12/3 NM-B Wire (per foot),Electrical,FT,1.35,ELC-1223,10,true,12-3 Romex for multi-wire branch circuits.,National Electrical Wholesale
Plastic Single Gang Box,Electrical,EA,1.25,ELC-BOX1G,5,true,Single gang plastic old/new work box.,National Electrical Wholesale
Plastic Double Gang Box,Electrical,EA,1.85,ELC-BOX2G,5,true,Double gang plastic box.,National Electrical Wholesale
Metal Box 4" Square,Electrical,EA,3.50,ELC-BOX4S,5,true,4-inch steel square box with knockouts.,National Electrical Wholesale
Duplex Outlet 15A,Electrical,EA,2.50,ELC-OUTL15,5,true,Standard 15A duplex receptacle.,National Electrical Wholesale
Duplex Outlet 20A,Electrical,EA,4.50,ELC-OUTL20,5,true,20A T-slot duplex receptacle.,National Electrical Wholesale
Single Pole Switch,Electrical,EA,3.00,ELC-SW1P,5,true,15A single pole toggle switch.,National Electrical Wholesale
3-Way Switch,Electrical,EA,6.50,ELC-SW3W,5,true,15A 3-way toggle switch.,National Electrical Wholesale
GFCI Outlet 20A,Electrical,EA,18.00,ELC-GFCI20,5,true,20A GFCI outlet with LED indicator.,National Electrical Wholesale
AFCI Breaker 15A,Electrical,EA,42.00,ELC-AFCI15,5,true,15A AFCI/GFCI combo circuit breaker.,National Electrical Wholesale
AFCI Breaker 20A,Electrical,EA,48.00,ELC-AFCI20,5,true,20A AFCI/GFCI combo circuit breaker.,National Electrical Wholesale
200A Main Breaker Panel,Electrical,EA,185.00,ELC-PNL200,0,true,200A load center with main breaker.,National Electrical Wholesale
LED Recessed Light 6",Electrical,EA,18.00,ELC-REC6,5,true,6-inch LED retrofit recessed light.,National Electrical Wholesale
Smoke Detector (AC Hardwired),Electrical,EA,28.00,ELC-SMK-AC,5,true,120V hardwired smoke detector with battery backup.,National Electrical Wholesale
Carbon Monoxide Detector,Electrical,EA,32.00,ELC-CO,5,true,Hardwired CO detector with battery backup.,National Electrical Wholesale
16d Sinker Nails (1 lb),Hardware & Fasteners,LB,3.75,HW-N16D-SNK,5,true,Hand-drive sinker nails for general framing.,Pro Hardware Supply
16d Common Nails (1 lb),Hardware & Fasteners,LB,4.00,HW-N16D-CMN,5,true,16d common nails for heavy structural work.,Pro Hardware Supply
10d Common Nails (1 lb),Hardware & Fasteners,LB,3.50,HW-N10D-CMN,5,true,10d common nails for general carpentry.,Pro Hardware Supply
8d Common Nails (1 lb),Hardware & Fasteners,LB,3.25,HW-N8D-CMN,5,true,8d common nails for sheathing and general use.,Pro Hardware Supply
8d Box Nails (1 lb),Hardware & Fasteners,LB,3.00,HW-N8D-BOX,5,true,8d box nails for lighter framing and trim.,Pro Hardware Supply
6d Box Nails (1 lb),Hardware & Fasteners,LB,2.75,HW-N6D-BOX,5,true,6d box nails for furring and light trim.,Pro Hardware Supply
Joist Hanger Nails 1-1/2" (1 lb),Hardware & Fasteners,LB,4.50,HW-NJH15,5,true,Short stout nails specifically for metal connectors and joist hangers.,Pro Hardware Supply
Duplex Form Nails 16d (1 lb),Hardware & Fasteners,LB,3.75,HW-NDPX16,5,true,Double-head nails for concrete formwork. Easy removal.,Southwest Concrete Supply
Galvanized Ring Shank Siding Nails 8d (1 lb),Hardware & Fasteners,LB,5.50,HW-NGSID8D,5,true,Galvanized ring shank for hardboard and fiber cement siding.,Pro Hardware Supply
Framing Nails 3-1/2" Coil (300/box),Hardware & Fasteners,BX,14.50,HW-FN35,5,true,Full-round-head coil nails for framing nailer.,Pro Hardware Supply
Framing Nails 3" Coil (300/box),Hardware & Fasteners,BX,12.00,HW-FN3,5,true,3-inch coil nails for framing and sheathing.,Pro Hardware Supply
Roofing Nails 1-3/4" Smooth (1 lb),Hardware & Fasteners,LB,3.50,HW-NRF174,5,true,Hot-dipped galvanized hand-drive roofing nails.,Pro Hardware Supply
Brad Nails 18ga 1-1/4" (1000/box),Hardware & Fasteners,BX,12.00,HW-NBR18-114,5,true,18ga brad nails for light trim and cabinet work.,Pro Hardware Supply
Brad Nails 18ga 2" (1000/box),Hardware & Fasteners,BX,14.00,HW-NBR18-2,5,true,18ga brad nails for trim attachment.,Pro Hardware Supply
Finish Nails 16ga 2" (1000/box),Hardware & Fasteners,BX,16.00,HW-NFN16-2,5,true,16ga finish nails for interior trim and casing.,Pro Hardware Supply
Finish Nails 16ga 2-1/2" (1000/box),Hardware & Fasteners,BX,18.00,HW-NFN16-25,5,true,16ga finish nails for baseboard and heavy trim.,Pro Hardware Supply
Finish Nails 15ga 2-1/2" (1000/box),Hardware & Fasteners,BX,20.00,HW-NFN15-25,5,true,15ga angled finish nails for thick trim and door casing.,Pro Hardware Supply
Deck Screws 3" (1 lb),Hardware & Fasteners,LB,5.50,HW-DS3,5,true,Exterior-grade coated deck screws.,Pro Hardware Supply
Deck Screws 2-1/2" (1 lb),Hardware & Fasteners,LB,5.25,HW-DS25,5,true,Exterior-grade coated deck screws for decking.,Pro Hardware Supply
Pocket Screws 1-1/4" Coarse (100/box),Hardware & Fasteners,BX,8.00,HW-PKT114,5,true,Coarse-thread pocket screws for Kreg jig joints.,Pro Hardware Supply
Pocket Screws 2-1/2" Coarse (100/box),Hardware & Fasteners,BX,10.00,HW-PKT25,5,true,Coarse-thread pocket screws for thicker material joints.,Pro Hardware Supply
Self-Drilling Metal Screws #8x1/2" (100/box),Hardware & Fasteners,BX,6.50,HW-SDMS8-12,5,true,Self-drilling screws for metal stud framing.,Interior Supply Group
Structural Screw LedgerLOK 3/8"x3-1/8" (50/box),Hardware & Fasteners,BX,28.00,HW-LEDLOK,5,true,FastenMaster LedgerLOK structural screws for ledger boards.,Pro Hardware Supply
TimberLOK Structural Screw 3/8"x8" (50/box),Hardware & Fasteners,BX,32.00,HW-TIMLOK8,5,true,Heavy-duty TimberLOK for timber connections.,Pro Hardware Supply
Tapcon Concrete Screws 3/16"x1-3/4" (75/box),Hardware & Fasteners,BX,18.00,HW-TAP316-175,5,true,Hex-head Tapcon for concrete and masonry.,Pro Hardware Supply
Tapcon Concrete Screws 1/4"x2-3/4" (50/box),Hardware & Fasteners,BX,22.00,HW-TAP14-275,5,true,Larger Tapcon for sill plate and ledger anchoring.,Pro Hardware Supply
GRK RSS Framing Screw 3-1/8" (100/box),Hardware & Fasteners,BX,22.00,HW-GRK318,5,true,GRK structural screws for framing connections.,Pro Hardware Supply
Trim Head Screws 2-1/2" (1 lb),Hardware & Fasteners,LB,6.50,HW-TRM25,5,true,Small head trim screws for finished carpentry.,Pro Hardware Supply
Lag Screw 1/2"x3" (25-pack),Hardware & Fasteners,PK,8.50,HW-LAG12X3,5,true,Hot-dip galvanized hex lag screws.,Pro Hardware Supply
Lag Screw 1/2"x5" (25-pack),Hardware & Fasteners,PK,11.00,HW-LAG12X5,5,true,Longer lags for beam-to-post connections.,Pro Hardware Supply
Wedge Anchor 1/2"x3-3/4" (25/box),Hardware & Fasteners,BX,22.00,HW-WA12-375,5,true,Stainless wedge anchors for concrete.,Pro Hardware Supply
Sleeve Anchor 3/8"x3" (10/box),Hardware & Fasteners,BX,14.00,HW-SA38-3,5,true,Zinc sleeve anchors for masonry and concrete.,Pro Hardware Supply
Toggle Bolt 1/4"x3" (10/box),Hardware & Fasteners,BX,8.00,HW-TGB14-3,5,true,Spring wing toggle bolts for hollow wall anchoring.,Pro Hardware Supply
Snap Toggle 1/4" (10/box),Hardware & Fasteners,BX,12.00,HW-SNPTG14,5,true,SnapToggle channel anchors for drywall and block.,Pro Hardware Supply
Joist Hanger LUS24,Hardware & Fasteners,EA,1.85,HW-LUS24,5,true,Simpson Strong-Tie LUS24 double joist hanger.,Pro Hardware Supply
Joist Hanger LUS26,Hardware & Fasteners,EA,2.25,HW-LUS26,5,true,Simpson Strong-Tie LUS26 double joist hanger.,Pro Hardware Supply
Hurricane Tie H2.5A,Hardware & Fasteners,EA,0.95,HW-H25A,5,true,Simpson H2.5A rafter tie for uplift resistance.,Pro Hardware Supply
Strap Tie CMST16,Hardware & Fasteners,EA,3.50,HW-CMST16,5,true,Simpson CMST16 coil strap for lateral loads.,Pro Hardware Supply
Post Cap BC6 (6x6),Hardware & Fasteners,EA,18.50,HW-BC6,5,true,Simpson BC6 post cap for 6x6 posts.,Pro Hardware Supply
Post Base ABA44 (4x4),Hardware & Fasteners,EA,12.00,HW-ABA44,5,true,Simpson ABA44 adjustable post base for 4x4.,Pro Hardware Supply
Post Base ABA66 (6x6),Hardware & Fasteners,EA,18.00,HW-ABA66,5,true,Simpson ABA66 adjustable post base for 6x6.,Pro Hardware Supply
Angle Bracket A34,Hardware & Fasteners,EA,0.85,HW-A34,5,true,Simpson A34 framing angle bracket.,Pro Hardware Supply
Construction Adhesive (10 oz),Hardware & Fasteners,TU,5.50,HW-CA10,5,true,Polyurethane construction adhesive.,Pro Hardware Supply
Structural Adhesive PL Premium (10 oz),Hardware & Fasteners,TU,8.50,HW-PL400,5,true,Loctite PL Premium for subfloor and framing.,Pro Hardware Supply
Circular Saw Blade 7-1/4" 24T Framing,Saw Blades & Consumables,EA,12.00,BLD-CS724T,0,true,Carbide-tipped framing blade. Fast aggressive cuts in lumber.,Pro Hardware Supply
Circular Saw Blade 7-1/4" 40T General,Saw Blades & Consumables,EA,18.00,BLD-CS740T,0,true,40-tooth general purpose blade for dimensional lumber.,Pro Hardware Supply
Circular Saw Blade 7-1/4" 60T Fine Finish,Saw Blades & Consumables,EA,24.00,BLD-CS760T,0,true,60-tooth fine finish blade for trim and plywood.,Pro Hardware Supply
Circular Saw Blade 7-1/4" 4T Demo,Saw Blades & Consumables,EA,9.00,BLD-CS74T,0,true,4-tooth demolition blade for rough cuts with embedded nails.,Pro Hardware Supply
Recip Saw Blade Demo 6" (5-pack),Saw Blades & Consumables,PK,14.00,BLD-RS6DM5,0,true,Demolition reciprocating blades for nails in wood.,Pro Hardware Supply
Recip Saw Blade Wood 6" (5-pack),Saw Blades & Consumables,PK,12.00,BLD-RS6WD5,0,true,Reciprocating saw blades for clean wood cuts.,Pro Hardware Supply
Recip Saw Blade Metal 6" (5-pack),Saw Blades & Consumables,PK,16.00,BLD-RS6MT5,0,true,Bi-metal reciprocating blades for pipe and metal.,Pro Hardware Supply
Recip Saw Blade Pruning 9" (3-pack),Saw Blades & Consumables,PK,10.00,BLD-RS9PR3,0,true,Coarse blades for tree removal and rough demo.,Pro Hardware Supply
Jigsaw Blade Wood T-Shank (5-pack),Saw Blades & Consumables,PK,10.00,BLD-JS5WD,0,true,T-shank jigsaw blades for wood cuts.,Pro Hardware Supply
Jigsaw Blade Metal T-Shank (5-pack),Saw Blades & Consumables,PK,12.00,BLD-JS5MT,0,true,T-shank jigsaw blades for sheet metal and pipe.,Pro Hardware Supply
Hole Saw 3" Bi-Metal,Saw Blades & Consumables,EA,18.00,BLD-HS3BM,0,true,Bi-metal hole saw for wood and light metal. 3-inch diameter.,Pro Hardware Supply
Hole Saw 4" Bi-Metal,Saw Blades & Consumables,EA,22.00,BLD-HS4BM,0,true,4-inch hole saw for large plumbing and electrical openings.,Pro Hardware Supply
Spade Bit 1" (wood boring),Saw Blades & Consumables,EA,8.00,BLD-SB1,0,true,1-inch spade bit for boring through framing for pipe and wire.,Pro Hardware Supply
Spade Bit 1-1/2" (wood boring),Saw Blades & Consumables,EA,10.00,BLD-SB15,0,true,1-1/2-inch spade bit for larger bore holes.,Pro Hardware Supply
Auger Bit 1" x 16" (electrician),Saw Blades & Consumables,EA,18.00,BLD-AB1-16,0,true,Long auger bit for boring through multiple studs.,Pro Hardware Supply
Self-Feed Bit 2-1/8",Saw Blades & Consumables,EA,22.00,BLD-SFB2,0,true,Self-feed bit for large-diameter holes in subfloor and framing.,Pro Hardware Supply
Diamond Blade 4-1/2" Dry Cut,Saw Blades & Consumables,EA,18.00,BLD-DB45DRY,0,true,Dry-cut diamond blade for tile and concrete block.,Pro Hardware Supply
Abrasive Cutoff Wheel 4-1/2" (25/box),Saw Blades & Consumables,BX,22.00,BLD-ACW45-25,0,true,Metal cutoff wheels for angle grinder.,Pro Hardware Supply
Sandpaper 60-grit (10-pack),Saw Blades & Consumables,PK,7.00,BLD-SP60-10,0,true,Coarse sandpaper for rough shaping.,Pro Hardware Supply
Sandpaper 80-grit (10-pack),Saw Blades & Consumables,PK,7.00,BLD-SP80-10,0,true,Medium-coarse sandpaper for material removal.,Pro Hardware Supply
Sandpaper 120-grit (10-pack),Saw Blades & Consumables,PK,7.00,BLD-SP120-10,0,true,Medium sandpaper for surface prep before paint.,Pro Hardware Supply
Sandpaper 220-grit (10-pack),Saw Blades & Consumables,PK,7.00,BLD-SP220-10,0,true,Fine sandpaper for finishing coats.,Pro Hardware Supply
Vinyl Window Double-Hung 30x48,Windows & Doors,EA,185.00,WD-VDH3048,5,true,Vinyl double-hung window 30"x48". Low-E glass.,Window & Door Depot
Vinyl Window Double-Hung 36x48,Windows & Doors,EA,210.00,WD-VDH3648,5,true,Vinyl double-hung window 36"x48". Low-E glass.,Window & Door Depot
Vinyl Window Double-Hung 36x60,Windows & Doors,EA,245.00,WD-VDH3660,5,true,Vinyl double-hung window 36"x60". Low-E glass.,Window & Door Depot
Vinyl Window Slider 48x36,Windows & Doors,EA,195.00,WD-VSLD4836,5,true,Vinyl sliding window 48"x36".,Window & Door Depot
Vinyl Window Single Hung 24x36,Windows & Doors,EA,145.00,WD-VSH2436,5,true,Vinyl single-hung window 24"x36".,Window & Door Depot
Vinyl Window Casement 24x48,Windows & Doors,EA,235.00,WD-VCAS2448,5,true,Vinyl casement window 24"x48" with crank.,Window & Door Depot
Vinyl Egress Window 32x48,Windows & Doors,EA,285.00,WD-VEGR3248,5,true,Egress-compliant window for basement bedrooms.,Window & Door Depot
Exterior Door Fiberglass 3068 (Prehung),Windows & Doors,EA,485.00,WD-EDFG3068,0,true,Fiberglass exterior door 36"x80" prehung with frame.,Window & Door Depot
Exterior Door Steel 3068 (Prehung),Windows & Doors,EA,285.00,WD-EDST3068,0,true,Steel exterior door 36"x80" prehung with frame.,Window & Door Depot
Interior Door Hollow Core 2468 (Prehung),Windows & Doors,EA,125.00,WD-IDHC2468,0,true,Hollow core interior door 24"x80" prehung.,Window & Door Depot
Interior Door Hollow Core 2868 (Prehung),Windows & Doors,EA,135.00,WD-IDHC2868,0,true,Hollow core interior door 28"x80" prehung.,Window & Door Depot
Interior Door Hollow Core 3068 (Prehung),Windows & Doors,EA,145.00,WD-IDHC3068,0,true,Hollow core interior door 30"x80" prehung.,Window & Door Depot
Interior Door Solid Core 2868 (Prehung),Windows & Doors,EA,245.00,WD-IDSC2868,0,true,Solid core interior door 28"x80" prehung.,Window & Door Depot
